Price,Miles,Trim,Year,Vin,City,State,Link Status
249800,25115,LP700,2012,ZHWUC1ZDXCLA00119,Lisle,IL,Working
259995,11505,LP700,2012,ZHWUC1ZD6CLA00926,Bonita Springs,FL,Working
334900,20480,LP700,2017,ZHWUR1ZDXHLA05715,Beverly Hills,CA,Working
269900,17222,LP700,2013,ZHWUC1ZD5DLA01678,Hillside,NJ,Working
395951,375,LP700,2015,ZHWUR1ZD5FLA03626,West Palm Beach,FL,Working
279995,9402,LP700,2013,ZHWUC1ZD8DLA01772,Paramus,NJ,Working
254995,18236,LP700,2012,ZHWUC1ZDXCLA00122,Orlando,FL,Working
339995,7482,LP700,2015,ZHWUC1ZD9FLA03744,Birmingham,MI,Working
379951,2658,LP700,2014,ZHWUR1ZD5ELA02331,West Palm Beach,FL,Working
335900,5275,LP700,2014,ZHWUR1ZD8ELA02677,Addison,TX,Working
330000,2664,LP700,2013,ZHWUR1ZD6DLA01686,Madera,CA,Working
318777,19353,LP700,2015,ZHWUR1ZD9FLA03094,Boerne,TX,Working
440000,7783,LP700,2016,ZHWUR1ZD3GLA04291,Las Vegas,NV,Working
365000,7000,LP700,2014,ZHWUR1ZD3ELA02716,Palm Desert,CA,Working
329950,14217,LP700,2014,ZHWUR1ZD9ELA02185,Miami,FL,Working
339950,12874,LP700,2015,ZHWUC1ZD1FLA03107,Miami,FL,Working
299998,11986,LP700,2013,ZHWUC1ZDXDLA01790,Lauderdale Lakes,FL,Working
338777,8825,LP700,2014,ZHWUR1ZD1ELA02892,Boerne,TX,Working
340000,13148,LP700,2015,ZHWUR1ZD8FLA03457,Stafford,VA,Working
339990,11638,LP700,2014,ZHWUR1ZD1ELA02293,Orlando,FL,Working
324899,15494,LP700,2015,ZHWUR1ZD6FLA03618,N/A,N/A,Working
264888,27688,LP700,2012,ZHWUC1ZDXCLA01089,N/A,N/A,Working
469988,1593,S,2018,ZHWUV4ZD3JLA07728,Garland,TX,Working
599996,1691,S,2019,ZHWUV4ZD1KLA08054,Charlotte,NC,Working
445000,1585,S,2018,ZHWUG4ZD5JLA07563,Addison,TX,Working
489996,9543,S,2018,ZHWUV4ZD4JLA07172,Charlotte,NC,Working
409950,8176,S,2018,ZHWUG4ZD4JLA06582,Fort Lauderdale,FL,Working
479991,2699,S,2018,ZHWUV4ZD6JLA07061,Barrington,IL,Working
469977,7985,LP750,2016,ZHWUF3ZD5GLA04975,Charlotte,NC,Working
519996,7980,LP750,2016,ZHWUF3ZD1GLA04858,Charlotte,NC,Working
579990,2797,LP750,2017,ZHWUT3ZD2HLA05480,Marietta,GA,Working
509990,6831,LP750,2016,ZHWUF3ZD9GLA04767,N/A,N/A,Working
690900,1602,SVJ,2020,ZHWUM6ZD1LLA09138,Greenwich,CT,Working
730000,3380,SVJ,2020,ZHWUM6ZDXLLA09221,Blair,NE,Working
789888,850,Unspecified,2021,ZHWUN6ZD1MLA10093,N/A,N/A,Working
